Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
GPS,32.1680094400,34.8089072000,34.07421875,5.21,3.7900925,281.4,1713027300000,0.94539165,1.3944256,338513690269498,2.5,0,,,
FLP,32.1680107000,34.8089084000,34.96923965237276,5.324474,3.9,280.8402,1713027299550,0.94539165,1.3944256,338513690269498,2.0860307,0,,,
GPS,32.1680253200,34.8088365500,34.14739990234375,6.26,3.7900925,281.2,1713027301000,0.7259445,1.3018906,338514689405852,2.5,0,,,
FLP,32.1680238000,34.8088402000,34.641606210409904,5.9853115,3.9,281.41107,1713027300549,0.7259445,1.3018906,338514689405852,2.0735223,0,,,
GPS,32.1680366800,34.8087707300,34.400634765625,6.57,3.7900925,280.8,1713027302000,0.77236325,1.3582385,338515694044237,2.5,0,,,
FLP,32.1680361000,34.8087721000,34.93853511971147,6.3535457,3.9,280.36734,1713027301554,0.77236325,1.3582385,338515694044237,2.051287,0,,,
GPS,32.1680453200,34.8087094500,33.6575927734375,6.25,3.7900925,279.8,1713027303000,0.7434199,1.2768208,338516692527883,2.5,0,,,
FLP,32.1680456000,34.8087085000,35.115855071610085,6.2765183,3.9,279.03152,1713027302552,0.7434199,1.2768208,338516692527883,2.0620215,0,,,
GPS,32.1680586400,34.8086480100,33.427490234375,5.99,3.7900925,280.6,1713027304000,0.70932555,1.1328933,338517692488716,2.5,0,,,
FLP,32.1680574000,34.8086467000,35.29133101847931,6.085745,3.878,279.81967,1713027303552,0.70932555,1.1328933,338517692488716,2.0767,0,,,
GPS,32.1680694900,34.8085869200,33.1435546875,5.8,3.7900925,282.2,1713027305000,0.7147164,1.0541109,338518701343298,2.5,0,,,
FLP,32.1680688000,34.8085859000,35.32598052165717,5.9032836,3.878,281.70935,1713027304561,0.7147164,1.0541109,338518701343298,2.0757856,0,,,
GPS,32.1680839800,34.8085278700,33.53228759765625,5.61,3.7900925,283.6,1713027306000,0.719076,0.99533147,338519695642362,2.5,0,,,
FLP,32.1680827000,34.8085273000,35.36878304519907,5.71226,3.878,282.73062,1713027305555,0.719076,0.99533147,338519695642362,2.0764544,0,,,
GPS,32.1680958400,34.8084731700,33.85467529296875,5.4,3.7900925,285.6,1713027307000,0.7303752,0.97829825,338520692978558,2.5,0,,,
FLP,32.1680953000,34.8084721000,35.159055316892264,5.513993,3.881,284.59195,1713027306552,0.7303752,0.97829825,338520692978558,2.0619178,0,,,
GPS,32.1681132900,34.8084319500,33.80401611328125,4.56,3.7900925,292.9,1713027308000,0.793342,1.032248,338521691494861,2.5,0,,,
FLP,32.1681118000,34.8084282000,35.106061786594125,4.9140105,3.881,289.8611,1713027307551,0.793342,1.032248,338521691494861,2.0617461,0,,,
GPS,32.1681329800,34.8083982100,33.7698974609375,3.85,3.7900925,302.3,1713027309000,0.7933735,1.1015812,338522698588610,2.5,0,,,
